name;position in array;low;high;stepsize;optguess;minbound;maxbound;derived params
SpecificLeafArea;1;0.001;0.003;0.0001;;;;
SpecificLeafArea;2;0.001;0.003;0.0001;;;;
SpecificLeafArea;3;0.001;0.003;0.0001;;;;
SpecificLeafArea;4;0.001;0.003;0.0001;;;;
SpecificLeafArea;5;0.001;0.003;0.0001;;;;
SpecificLeafArea;6;0.001;0.003;0.0001;;;;
StageTemperatureSum;1;75;140;1;;;;
StageTemperatureSum;2;198;369;1;;;;
StageTemperatureSum;3;168;312;1;;;;
StageTemperatureSum;4;84;156;1;;;;
StageTemperatureSum;5;238;442;1;;;;
StageTemperatureSum;6;17;32;1;;;;
DroughtStressThreshold;1;0.5;1.1;0.01;;;;
DroughtStressThreshold;2;0.5;1.1;0.01;;;;
DroughtStressThreshold;3;0.5;1.1;0.01;;;;
DroughtStressThreshold;4;0.5;1;0.01;;;;
DroughtStressThreshold;5;0.4;0.8;0.01;;;;
DroughtStressThreshold;6;0.3;0.7;0.01;;;;
StageKcFactor;1;0.2;0.5;0.01;;;;
StageKcFactor;2;0.4;0.8;0.01;;;;
StageKcFactor;3;0.7;1.3;0.01;;;;
StageKcFactor;4;0.7;1.3;0.01;;;;
StageKcFactor;5;0.5;1.1;0.01;;;;
StageKcFactor;6;0.2;0.3;0.01;;;;
BaseDaylength;2;;;;;;;
BaseDaylength;3;4;10;1;;;;
BaseDaylength;4;;;;;;;
DaylengthRequirement;2;14;26;1;;;;
DaylengthRequirement;3;14;26;1;;;;
DaylengthRequirement;4;;;;;;;
VernalisationRequirement;2;;;;;;;
RootPenetrationRate;;0.0007;0.0013;0.0001;;;;
SpecificRootLength;;210;390;1;;;;
MaxAssimilationRate;;21;39;1;;;;
CropSpecificMaxRootingDepth;;0.9;1.7;0.01;;;;
