exp_ID,sim file,crop file,site file,climate file,species params,cv params,position in rotation *,crop ID (as in crop.json),"*separate with ""-"" if the crop has more than one position"
EX15,sim.json,crop.json,site.json,weather2,wheat.json,wheat/winter-wheat.json,0,WW,
EX16,sim.json,crop.json,site.json,weather2,wheat.json,wheat/winter-wheat.json,0,WW,
EX17,sim.json,crop.json,site.json,weather2,wheat.json,wheat/winter-wheat.json,0,WW,
EX18,sim.json,crop.json,site.json,weather2,wheat.json,wheat/winter-wheat.json,0,WW,
EX53,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX57,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX61,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX69,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX73,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX77,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX85,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX89,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX93,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX101,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX105,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX109,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX116,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX120,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX124,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX131,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX135,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX139,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX147,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX151,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX155,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX163,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX167,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX171,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX179,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX183,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX187,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX195,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX199,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX203,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX211,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX215,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX219,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX227,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX231,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX235,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX243,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX247,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX251,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX259,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX263,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX267,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX274,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX278,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX282,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX288,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX291,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX294,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX300,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX304,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX308,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX315,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX319,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
EX323,sim.json,crop.json,site.json,weather3,wheat.json,wheat/winter-wheat.json,0,WW,
