name;position in array;low;high;stepsize;optguess;minbound;maxbound;derived params
SpecificLeafArea;1;0.0005;0.003;0.0001;;;;
SpecificLeafArea;2;0.0005;0.003;0.0001;;;;
SpecificLeafArea;3;0.0005;0.003;0.0001;;;;
SpecificLeafArea;4;0.0005;0.003;0.0001;;;;
SpecificLeafArea;5;0.0005;0.003;0.0001;;;;
SpecificLeafArea;6;0.0005;0.003;0.0001;;;;
StageTemperatureSum;1;50;150;1;;;;
StageTemperatureSum;2;150;400;1;;;;
StageTemperatureSum;3;150;400;1;;;;
StageTemperatureSum;4;50;300;1;;;;
StageTemperatureSum;5;200;600;1;;;;
StageTemperatureSum;6;15;35;1;;;;
DroughtStressThreshold;1;0.7;1.3;0.01;;;;
DroughtStressThreshold;2;0.6;1.2;0.01;;;;
DroughtStressThreshold;3;0.7;1.3;0.01;;;;
DroughtStressThreshold;4;0.7;1.3;0.01;;;;
DroughtStressThreshold;5;0.6;1.2;0.01;;;;
DroughtStressThreshold;6;0.5;1.1;0.01;;;;
StageKcFactor;1;0.3;0.5;0.01;;;;
StageKcFactor;2;0.5;0.9;0.01;;;;
StageKcFactor;3;0.8;1.4;0.01;;;;
StageKcFactor;4;0.8;1.4;0.01;;;;
StageKcFactor;5;0.6;1;0.01;;;;
StageKcFactor;6;0.1;0.4;0.01;;;;
BaseDaylength;2;5;10;1;;;;
BaseDaylength;3;5;10;1;;;;
BaseDaylength;4;5;10;1;;;;
DaylengthRequirement;2;15;25;1;;;;
DaylengthRequirement;3;15;25;1;;;;
DaylengthRequirement;4;15;25;1;;;;
VernalisationRequirement;2;25;75;1;;;;
RootPenetrationRate;;0.0005;0.0015;0.0001;;;;
SpecificRootLength;;210;390;1;;;;
MaxAssimilationRate;;20;35;1;;;;
CropSpecificMaxRootingDepth;;0.9;1.7;0.01;;;;
