name;position in array;low;high;stepsize;optguess;minbound;maxbound;derived params
SpecificLeafArea;1;0.001;0.003;0.0001;;;;
SpecificLeafArea;2;0.001;0.003;0.0001;;;;
SpecificLeafArea;3;0.001;0.003;0.0001;;;;
SpecificLeafArea;4;0.001;0.003;0.0001;;;;
SpecificLeafArea;5;0.001;0.003;0.0001;;;;
SpecificLeafArea;6;0.001;0.003;0.0001;;;;
StageTemperatureSum;1;103;193;1;;;;
StageTemperatureSum;2;198;370;1;;;;
StageTemperatureSum;3;140;260;1;;;;
StageTemperatureSum;4;280;520;1;;;;
StageTemperatureSum;5;245;455;1;;;;
StageTemperatureSum;6;17;32;1;;;;
DroughtStressThreshold;1;0.7;1.3;0.01;;;;
DroughtStressThreshold;2;0.4;1;0.01;;;;
DroughtStressThreshold;3;0.5;1;0.01;;;;
DroughtStressThreshold;4;0.5;1;0.01;;;;
DroughtStressThreshold;5;0.4;0.8;0.01;;;;
DroughtStressThreshold;6;0.3;0.7;0.01;;;;
StageKcFactor;1;0.2;0.6;0.01;;;;
StageKcFactor;2;0.4;1;0.01;;;;
StageKcFactor;3;0.7;1.5;0.01;;;;
StageKcFactor;4;0.7;1.5;0.01;;;;
StageKcFactor;5;0.5;1.1;0.01;;;;
StageKcFactor;6;0.15;0.35;0.01;;;;
BaseDaylength;3;4;10;1;;;;
BaseDaylength;4;4;10;1;;;;
DaylengthRequirement;2;14;26;1;;;;
DaylengthRequirement;3;14;26;1;;;;
DaylengthRequirement;4;14;26;1;;;;
VernalisationRequirement;2;35;65;1;;;;
RootPenetrationRate;;0.0008;0.0016;0.0001;;;;
SpecificRootLength;;210;390;1;;;;
MaxAssimilationRate;;26;50;1;;;;
CropSpecificMaxRootingDepth;;1;1.8;0.01;;;;
