name;position in array;low;high;stepsize;optguess;minbound;maxbound;derived params
StageKcFactor;1;0.2;0.6;0.01;;;;
StageKcFactor;2;0.7;1.3;0.01;;;;
StageKcFactor;3;0.7;1.3;0.01;;;;
StageKcFactor;4;0.8;1.6;0.01;;;;
StageKcFactor;5;0.87;1.63;0.01;;;;
StageKcFactor;6;0.87;1.63;0.01;;;;
StageKcFactor;7;0.7;1.3;0.01;;;;
CropSpecificMaxRootingDepth;;1;1.8;0.01;;;;
RootPenetrationRate;;0.001;0.0018;0.0001;;;;
SpecificRootLength;;210;390;1;;;;
DroughtStressThreshold;1;0.3;1;0.01;;;;
DroughtStressThreshold;2;0.3;1;0.01;;;;
DroughtStressThreshold;3;0.3;1;0.01;;;;
DroughtStressThreshold;4;0.3;1;0.01;;;;
DroughtStressThreshold;5;0.4;1;0.01;;;;
DroughtStressThreshold;6;0.4;1;0.01;;;;
DroughtStressThreshold;7;0.1;1;0.01;;;;
