name;position in array;low;high;stepsize;optguess;minbound;maxbound;derived params
SpecificLeafArea;1;0.001;0.003;0.0001;;;;
SpecificLeafArea;2;0.001;0.003;0.0001;;;;
SpecificLeafArea;3;0.001;0.003;0.0001;;;;
SpecificLeafArea;4;0.001;0.003;0.0001;;;;
SpecificLeafArea;5;0.001;0.003;0.0001;;;;
SpecificLeafArea;6;0.001;0.003;0.0001;;;;
StageTemperatureSum;1;56;104;1;;;;
StageTemperatureSum;2;198;370;1;;;;
StageTemperatureSum;3;196;364;1;;;;
StageTemperatureSum;4;126;234;1;;;;
StageTemperatureSum;5;304;566;1;;;;
StageTemperatureSum;6;17;33;1;;;;
DroughtStressThreshold;1;0.7;1.3;0.01;;;;
DroughtStressThreshold;2;0.6;1.2;0.01;;;;
DroughtStressThreshold;3;0.7;1.3;0.01;;;;
DroughtStressThreshold;4;0.7;1.3;0.01;;;;
DroughtStressThreshold;5;0.6;1.2;0.01;;;;
DroughtStressThreshold;6;0.5;1.1;0.01;;;;
StageKcFactor;1;0.4;0.8;0.01;;;;
StageKcFactor;2;0.4;1;0.01;;;;
StageKcFactor;3;0.7;1.5;0.01;;;;
StageKcFactor;4;0.7;1.5;0.01;;;;
StageKcFactor;5;0.5;1.1;0.01;;;;
StageKcFactor;6;0.15;0.35;0.01;;;;
BaseDaylength;3;4;10;1;;;;
BaseDaylength;4;4;10;1;;;;
DaylengthRequirement;2;14;26;1;;;;
DaylengthRequirement;3;14;26;1;;;;
DaylengthRequirement;4;14;26;1;;;;
RootPenetrationRate;;0.0005;0.0015;0.0001;;;;
SpecificRootLength;;210;390;1;;;;
MaxAssimilationRate;;36;68;1;;;;
CropSpecificMaxRootingDepth;;0.9;1.7;0.01;;;;
