Experiment;Name;Year;Crop;Biomass_dm_kg_ha;Biomass_dm_nconc_%;Grain_dm_kg_ha;Stem_dm_kg_ha;Emergence;Stem_elongation;Anthesis;Maturity;SWAT_0-30_Sowing;SWAT_30-60_Sowing;SWAT_60-90_Sowing;NMIN_0-30_Sowing;NMIN_30-60_Sowing;NMIN_60-90_Sowing;SWAT_0-30_Anthesis;SWAT_30-60_Anthesis;SWAT_60-90_Anthesis;NMIN_0-30_Anthesis;NMIN_30-60_Anthesis;NMIN_60-90_Anthesis;SWAT_0-30_Harvesting;SWAT_30-60_Harvesting;SWAT_60-90_Harvesting;NMIN_0-30_Harvesting;NMIN_30-60_Harvesting;NMIN_60-90_Harvesting
;Event;;;harvesting;harvesting;harvesting;harvesting;emergence;cereal-stem-elongation;anthesis;maturity;sowing;sowing;sowing;sowing;sowing;sowing;anthesis;anthesis;anthesis;anthesis;anthesis;anthesis;harvesting;harvesting;harvesting;harvesting;harvesting;harvesting
;MONICA_output;;;AbBiom;AbBiomNc;"[""OrgBiom"", ""FRUIT""]";"[""OrgBiom"", ""Shoot""]";emergence;cereal-stem-elongation;anthesis;maturity;"[""Mois"", [1, 3], ""SUM""]";"[""Mois"", [4,6], ""SUM""]";"[""Mois"", [7,9], ""SUM""]";"[""N"", [1, 3], ""SUM""]";"[""N"", [4,6], ""SUM""]";"[""N"", [7,9], ""SUM""]";"[""Mois"", [1, 3], ""SUM""]";"[""Mois"", [4,6], ""SUM""]";"[""Mois"", [7,9], ""SUM""]";"[""N"", [1, 3], ""SUM""]";"[""N"", [4,6], ""SUM""]";"[""N"", [7,9], ""SUM""]";"[""Mois"", [1, 3], ""SUM""]";"[""Mois"", [4,6], ""SUM""]";"[""Mois"", [7,9], ""SUM""]";"[""N"", [1, 3], ""SUM""]";"[""N"", [4,6], ""SUM""]";"[""N"", [7,9], ""SUM""]"
EX1;ATB_Marquart;2015;WW;;;5265.57;3199.85;;;;17.07.2015;;;;;;;;;;;;;;;;;;
EX2;ATB_Marquart;2015;WW;;;4495.01;2781.89;;;;17.07.2015;;;;;;;;;;;;;;;;;;
EX3;ATB_Marquart;2015;WW;;;6659.09;3987.18;;;;17.07.2015;;;;;;;;;;;;;;;;;;
EX4;ATB_Marquart;2015;WW;;;7762.47;4656.9;;;;17.07.2015;;;;;;;;;;;;;;;;;;
EX5;ATB_Marquart;2016;WW;;;4079.41;1807.51;;28.04.2016;07.06.2016;04.07.2016;;;;;;;;;;;;;;;;;;
EX6;ATB_Marquart;2016;WW;;;5116.14;2159.03;;28.04.2016;07.06.2016;04.07.2016;;;;;;;;;;;;;;;;;;
EX7;ATB_Marquart;2016;WW;;;4054.69;1661.09;;28.04.2016;07.06.2016;04.07.2016;;;;;;;;;;;;;;;;;;
EX8;ATB_Marquart;2016;WW;;;5576.24;2308.67;;28.04.2016;07.06.2016;04.07.2016;;;;;;;;;;;;;;;;;;
