name;position in array;low;high;stepsize;optguess;minbound;maxbound;derived params
SpecificLeafArea;1;0.0017;0.003;0.0001;;;;
SpecificLeafArea;2;0.0012;0.0022;0.0001;;;;
SpecificLeafArea;3;0.001;0.002;0.0001;;;;
SpecificLeafArea;4;0.001;0.002;0.0001;;;;
SpecificLeafArea;5;0.001;0.002;0.0001;;;;
SpecificLeafArea;6;0.001;0.002;0.0001;;;;
SpecificLeafArea;7;0.001;0.002;0.0001;;;;
StageTemperatureSum;1;47;88;1;;;;
StageTemperatureSum;2;198;370;1;;;;
StageTemperatureSum;3;133;247;1;;;;
StageTemperatureSum;4;175;325;1;;;;
StageTemperatureSum;5;140;260;1;;;;
StageTemperatureSum;6;280;520;1;;;;
StageTemperatureSum;7;17;32;1;;;;
DroughtStressThreshold;1;0.3;0.7;0.01;;;;
DroughtStressThreshold;2;0.3;0.7;0.01;;;;
DroughtStressThreshold;3;0.3;0.7;0.01;;;;
DroughtStressThreshold;4;0.3;0.7;0.01;;;;
DroughtStressThreshold;5;0.4;0.8;0.01;;;;
DroughtStressThreshold;6;0.4;0.8;0.01;;;;
DroughtStressThreshold;7;0.1;0.3;0.01;;;;
StageKcFactor;1;0.2;0.6;0.01;;;;
StageKcFactor;2;0.7;1.3;0.01;;;;
StageKcFactor;3;0.7;1.3;0.01;;;;
StageKcFactor;4;0.8;1.6;0.01;;;;
StageKcFactor;5;0.87;1.63;0.01;;;;
StageKcFactor;6;0.87;1.63;0.01;;;;
StageKcFactor;7;0.7;1.3;0.01;;;;
BaseDaylength;2;;;;;;;
BaseDaylength;3;;;;;;;
BaseDaylength;4;;;;;;;
DaylengthRequirement;2;;;;;;;
DaylengthRequirement;3;;;;;;;
DaylengthRequirement;4;;;;;;;
VernalisationRequirement;2;;;;;;;
RootPenetrationRate;;0.001;0.0018;0.0001;;;;
SpecificRootLength;;210;390;1;;;;
MaxAssimilationRate;;42;78;1;;;;
CropSpecificMaxRootingDepth;;1;1.8;0.01;;;;
