Experiment;Name;Year;Crop;AbBiom;AbBiomNc;OrgBiom/Fruit;Grain_dm_nconc_%;OrgBiom/Shoot;Cop_dm_kg_ha;Cop_dm_nconc_%;Leaf_dm_kg_ha;Tuber_dm_kg_ha;Tuber_dm_nconc_%;Emergence;Stem_elongation;Anthesis;Maturity;SWAT_0 - 30;SWAT_30 - 60;SWAT_60 - 90;NMIN_0 - 30;NMIN_30 - 60;NMIN_60 - 90;SWAT_0 - 30;SWAT_30 - 60;SWAT_60 - 90;NMIN_0 - 30;NMIN_30 - 60;NMIN_60 - 90;SWAT_0 - 30;SWAT_30 - 60;SWAT_60 - 90;NMIN_0 - 30;NMIN_30 - 60;NMIN_60 - 90
;Event;;;harvesting;harvesting;harvesting;harvesting;harvesting;harvesting;harvesting;harvesting;harvesting;harvesting;emergence;cereal-stem-elongation;anthesis;maturity;sowing;sowing;sowing;sowing;sowing;sowing;anthesis;anthesis;anthesis;anthesis;anthesis;anthesis;harvesting;harvesting;harvesting;harvesting;harvesting;harvesting
;MONICA_output;;;AbBiom;AbBiomNc;"[""OrgBiom"", ""FRUIT""]";YieldNc;"[""OrgBiom"", ""Shoot""]";"[""OrgBiom"", ""FRUIT""]";YieldNc;"[""OrgBiom"", ""Leaf""]";"[""OrgBiom"", ""FRUIT""]";YieldNc;emergence;cereal-stem-elongation;anthesis;maturity;"[""Mois"", [1, 3], ""SUM""]";"[""Mois"", [4,6], ""SUM""]";"[""Mois"", [7,9], ""SUM""]";"[""N"", [1, 3], ""SUM""]";"[""N"", [4,6], ""SUM""]";"[""N"", [7,9], ""SUM""]";"[""Mois"", [1, 3], ""SUM""]";"[""Mois"", [4,6], ""SUM""]";"[""Mois"", [7,9], ""SUM""]";"[""N"", [1, 3], ""SUM""]";"[""N"", [4,6], ""SUM""]";"[""N"", [7,9], ""SUM""]";"[""Mois"", [1, 3], ""SUM""]";"[""Mois"", [4,6], ""SUM""]";"[""Mois"", [7,9], ""SUM""]";"[""N"", [1, 3], ""SUM""]";"[""N"", [4,6], ""SUM""]";"[""N"", [7,9], ""SUM""]"
EX1;ATB_Marquart;2015;WW;;;5265.57;;3199.85;;;;;;;;;17.07.2015;;;;;;;;;;;;;;;;;;
EX2;ATB_Marquart;2015;WW;;;4495.01;;2781.89;;;;;;;;;17.07.2015;;;;;;;;;;;;;;;;;;
EX3;ATB_Marquart;2015;WW;;;6659.09;;3987.18;;;;;;;;;17.07.2015;;;;;;;;;;;;;;;;;;
EX4;ATB_Marquart;2015;WW;;;7762.47;;4656.9;;;;;;;;;17.07.2015;;;;;;;;;;;;;;;;;;
EX5;ATB_Marquart;2016;WW;;;4079.41;;1807.51;;;;;;;28.04.2016;07.06.2016;04.07.2016;;;;;;;;;;;;;;;;;;
EX6;ATB_Marquart;2016;WW;;;5116.14;;2159.03;;;;;;;28.04.2016;07.06.2016;04.07.2016;;;;;;;;;;;;;;;;;;
EX7;ATB_Marquart;2016;WW;;;4054.69;;1661.09;;;;;;;28.04.2016;07.06.2016;04.07.2016;;;;;;;;;;;;;;;;;;
EX8;ATB_Marquart;2016;WW;;;5576.24;;2308.67;;;;;;;28.04.2016;07.06.2016;04.07.2016;;;;;;;;;;;;;;;;;;
