Experiment;Name;Weather;Soil;Year;Sowing;Harvest;Irrigation;Management;Fertilisation_org;Fertilisation_min;Residues;CO2;Crop;Cultivar;Lat;Long;Elevation
EX21;FI_Dahlhausen;weather2;soil5;2020;;;irrig6;;no_fert;;no_resi;no_co2;PO;no_cultivar;53.058;12.332;57
EX22;HUB_Thyrow_D1;weather3;soil6;2009;14.04.2009;15.09.2009;no_irrig;manag1;no_fert;no_fert;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX23;HUB_Thyrow_D1;weather3;soil6;2009;29.09.2008;06.07.2009;no_irrig;manag2;no_fert;no_fert;no_resi;no_co2;WB;Theresa;52.252;13.235;47
EX24;HUB_Thyrow_D1;weather3;soil6;2009;26.08.2008;08.07.2009;no_irrig;manag3;no_fert;no_fert;resi1;no_co2;WC;Elektra;52.252;13.235;47
EX25;HUB_Thyrow_D1;weather3;soil6;2009;29.09.2008;28.07.2009;no_irrig;manag4;no_fert;no_fert;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX26;HUB_Thyrow_D1;weather3;soil6;2009;14.04.2009;15.09.2009;no_irrig;manag1;no_fert;fert4;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX27;HUB_Thyrow_D1;weather3;soil6;2009;29.09.2008;06.07.2009;no_irrig;manag2;no_fert;fert2;no_resi;no_co2;WB;Theresa;52.252;13.235;47
EX28;HUB_Thyrow_D1;weather3;soil6;2009;26.08.2008;08.07.2009;no_irrig;manag3;no_fert;fert6;resi1;no_co2;WC;Elektra;52.252;13.235;47
EX29;HUB_Thyrow_D1;weather3;soil6;2009;29.09.2008;28.07.2009;no_irrig;manag4;no_fert;fert2;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX30;HUB_Thyrow_D1;weather3;soil6;2009;14.04.2009;15.09.2009;no_irrig;manag1;no_fert;fert3;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX31;HUB_Thyrow_D1;weather3;soil6;2009;29.09.2008;06.07.2009;no_irrig;manag2;no_fert;fert1;no_resi;no_co2;WB;Theresa;52.252;13.235;47
EX32;HUB_Thyrow_D1;weather3;soil6;2009;26.08.2008;08.07.2009;no_irrig;manag3;no_fert;fert5;resi1;no_co2;WC;Elektra;52.252;13.235;47
EX33;HUB_Thyrow_D1;weather3;soil6;2009;29.09.2008;28.07.2009;no_irrig;manag4;no_fert;fert1;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX34;HUB_Thyrow_D1;weather3;soil6;2009;14.04.2009;15.09.2009;no_irrig;manag1;no_fert;fert3;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX35;HUB_Thyrow_D1;weather3;soil6;2009;29.09.2008;06.07.2009;no_irrig;manag2;no_fert;fert1;no_resi;no_co2;WB;Theresa;52.252;13.235;47
EX36;HUB_Thyrow_D1;weather3;soil6;2009;26.08.2008;08.07.2009;no_irrig;manag3;no_fert;fert5;no_resi;no_co2;WC;Elektra;52.252;13.235;47
EX37;HUB_Thyrow_D1;weather3;soil6;2009;29.09.2008;28.07.2009;no_irrig;manag4;no_fert;fert1;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX38;HUB_Thyrow_D1;weather3;soil6;2009;29.09.2008;06.07.2009;irrig8;manag2;no_fert;no_fert;no_resi;no_co2;WB;Theresa;52.252;13.235;47
EX39;HUB_Thyrow_D1;weather3;soil6;2009;26.08.2008;08.07.2009;irrig8;manag3;no_fert;no_fert;resi1;no_co2;WC;Elektra;52.252;13.235;47
EX40;HUB_Thyrow_D1;weather3;soil6;2009;29.09.2008;28.07.2009;irrig7;manag4;no_fert;no_fert;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX41;HUB_Thyrow_D1;weather3;soil6;2009;29.09.2008;06.07.2009;irrig8;manag2;no_fert;fert2;no_resi;no_co2;WB;Theresa;52.252;13.235;47
EX42;HUB_Thyrow_D1;weather3;soil6;2009;26.08.2008;08.07.2009;irrig8;manag3;no_fert;fert6;resi1;no_co2;WC;Elektra;52.252;13.235;47
EX43;HUB_Thyrow_D1;weather3;soil6;2009;29.09.2008;28.07.2009;irrig7;manag4;no_fert;fert2;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX44;HUB_Thyrow_D1;weather3;soil6;2009;29.09.2008;06.07.2009;irrig8;manag2;no_fert;fert1;no_resi;no_co2;WB;Theresa;52.252;13.235;47
EX45;HUB_Thyrow_D1;weather3;soil6;2009;26.08.2008;08.07.2009;irrig8;manag3;no_fert;fert5;resi1;no_co2;WC;Elektra;52.252;13.235;47
EX46;HUB_Thyrow_D1;weather3;soil6;2009;29.09.2008;28.07.2009;irrig7;manag4;no_fert;fert1;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX47;HUB_Thyrow_D1;weather3;soil6;2009;29.09.2008;06.07.2009;irrig8;manag2;no_fert;fert1;no_resi;no_co2;WB;Theresa;52.252;13.235;47
EX48;HUB_Thyrow_D1;weather3;soil6;2009;26.08.2008;08.07.2009;irrig8;manag3;no_fert;fert5;no_resi;no_co2;WC;Elektra;52.252;13.235;47
EX49;HUB_Thyrow_D1;weather3;soil6;2009;29.09.2008;28.07.2009;irrig7;manag4;no_fert;fert1;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX50;HUB_Thyrow_D1;weather3;soil6;2010;14.04.2010;05.10.2010;no_irrig;manag5;no_fert;no_fert;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX51;HUB_Thyrow_D1;weather3;soil6;2010;26.08.2009;13.07.2010;no_irrig;manag6;no_fert;no_fert;resi2;no_co2;WC;Elektra;52.252;13.235;47
EX52;HUB_Thyrow_D1;weather3;soil6;2010;17.09.2009;20.07.2010;no_irrig;manag7;no_fert;no_fert;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX53;HUB_Thyrow_D1;weather3;soil6;2010;28.09.2009;21.07.2010;no_irrig;manag8;no_fert;no_fert;no_resi;no_co2;WW;Discus;52.252;13.235;47
EX54;HUB_Thyrow_D1;weather3;soil6;2010;14.04.2010;05.10.2010;no_irrig;manag5;no_fert;fert8;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX55;HUB_Thyrow_D1;weather3;soil6;2010;26.08.2009;13.07.2010;no_irrig;manag6;no_fert;fert10;resi2;no_co2;WC;Elektra;52.252;13.235;47
EX56;HUB_Thyrow_D1;weather3;soil6;2010;17.09.2009;20.07.2010;no_irrig;manag7;no_fert;fert8;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX57;HUB_Thyrow_D1;weather3;soil6;2010;28.09.2009;21.07.2010;no_irrig;manag8;no_fert;fert8;no_resi;no_co2;WW;Discus;52.252;13.235;47
EX58;HUB_Thyrow_D1;weather3;soil6;2010;14.04.2010;05.10.2010;no_irrig;manag5;no_fert;fert7;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX59;HUB_Thyrow_D1;weather3;soil6;2010;26.08.2009;13.07.2010;no_irrig;manag6;no_fert;fert9;resi2;no_co2;WC;Elektra;52.252;13.235;47
EX60;HUB_Thyrow_D1;weather3;soil6;2010;17.09.2009;20.07.2010;no_irrig;manag7;no_fert;fert7;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX61;HUB_Thyrow_D1;weather3;soil6;2010;28.09.2009;21.07.2010;no_irrig;manag8;no_fert;fert7;no_resi;no_co2;WW;Discus;52.252;13.235;47
EX62;HUB_Thyrow_D1;weather3;soil6;2010;14.04.2010;05.10.2010;no_irrig;manag5;no_fert;fert7;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX63;HUB_Thyrow_D1;weather3;soil6;2010;26.08.2009;13.07.2010;no_irrig;manag6;no_fert;fert9;no_resi;no_co2;WC;Elektra;52.252;13.235;47
EX64;HUB_Thyrow_D1;weather3;soil6;2010;17.09.2009;20.07.2010;no_irrig;manag7;no_fert;fert7;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX65;HUB_Thyrow_D1;weather3;soil6;2010;28.09.2009;21.07.2010;no_irrig;manag8;no_fert;fert7;no_resi;no_co2;WW;Discus;52.252;13.235;47
EX66;HUB_Thyrow_D1;weather3;soil6;2010;14.04.2010;05.10.2010;irrig9;manag5;no_fert;no_fert;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX67;HUB_Thyrow_D1;weather3;soil6;2010;26.08.2009;13.07.2010;irrig10;manag6;no_fert;no_fert;resi2;no_co2;WC;Elektra;52.252;13.235;47
EX68;HUB_Thyrow_D1;weather3;soil6;2010;17.09.2009;20.07.2010;irrig10;manag7;no_fert;no_fert;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX69;HUB_Thyrow_D1;weather3;soil6;2010;28.09.2009;21.07.2010;irrig9;manag8;no_fert;no_fert;no_resi;no_co2;WW;Discus;52.252;13.235;47
EX70;HUB_Thyrow_D1;weather3;soil6;2010;14.04.2010;05.10.2010;irrig9;manag5;no_fert;fert8;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX71;HUB_Thyrow_D1;weather3;soil6;2010;26.08.2009;13.07.2010;irrig10;manag6;no_fert;fert10;resi2;no_co2;WC;Elektra;52.252;13.235;47
EX72;HUB_Thyrow_D1;weather3;soil6;2010;17.09.2009;20.07.2010;irrig10;manag7;no_fert;fert8;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX73;HUB_Thyrow_D1;weather3;soil6;2010;28.09.2009;21.07.2010;irrig9;manag8;no_fert;fert8;no_resi;no_co2;WW;Discus;52.252;13.235;47
EX74;HUB_Thyrow_D1;weather3;soil6;2010;14.04.2010;05.10.2010;irrig9;manag5;no_fert;fert7;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX75;HUB_Thyrow_D1;weather3;soil6;2010;26.08.2009;13.07.2010;irrig10;manag6;no_fert;fert9;resi2;no_co2;WC;Elektra;52.252;13.235;47
EX76;HUB_Thyrow_D1;weather3;soil6;2010;17.09.2009;20.07.2010;irrig10;manag7;no_fert;fert7;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX77;HUB_Thyrow_D1;weather3;soil6;2010;28.09.2009;21.07.2010;irrig9;manag8;no_fert;fert7;no_resi;no_co2;WW;Discus;52.252;13.235;47
EX78;HUB_Thyrow_D1;weather3;soil6;2010;14.04.2010;05.10.2010;irrig9;manag5;no_fert;fert7;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX79;HUB_Thyrow_D1;weather3;soil6;2010;26.08.2009;13.07.2010;irrig10;manag6;no_fert;fert9;no_resi;no_co2;WC;Elektra;52.252;13.235;47
EX80;HUB_Thyrow_D1;weather3;soil6;2010;17.09.2009;20.07.2010;irrig10;manag7;no_fert;fert7;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX81;HUB_Thyrow_D1;weather3;soil6;2010;28.09.2009;21.07.2010;irrig9;manag8;no_fert;fert7;no_resi;no_co2;WW;Discus;52.252;13.235;47
EX82;HUB_Thyrow_D1;weather3;soil6;2011;11.04.2011;15.09.2011;no_irrig;manag9;no_fert;no_fert;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX83;HUB_Thyrow_D1;weather3;soil6;2011;25.08.2010;13.07.2011;no_irrig;manag10;no_fert;no_fert;resi3;no_co2;WC;Elektra;52.252;13.235;47
EX84;HUB_Thyrow_D1;weather3;soil6;2011;07.10.2010;26.07.2011;no_irrig;manag11;no_fert;no_fert;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX85;HUB_Thyrow_D1;weather3;soil6;2011;07.10.2010;19.07.2011;no_irrig;manag12;no_fert;no_fert;no_resi;no_co2;WW;Discus;52.252;13.235;47
EX86;HUB_Thyrow_D1;weather3;soil6;2011;11.04.2011;15.09.2011;no_irrig;manag9;no_fert;fert12;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX87;HUB_Thyrow_D1;weather3;soil6;2011;25.08.2010;13.07.2011;no_irrig;manag10;no_fert;fert16;resi3;no_co2;WC;Elektra;52.252;13.235;47
EX88;HUB_Thyrow_D1;weather3;soil6;2011;07.10.2010;26.07.2011;no_irrig;manag11;no_fert;fert14;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX89;HUB_Thyrow_D1;weather3;soil6;2011;07.10.2010;19.07.2011;no_irrig;manag12;no_fert;fert14;no_resi;no_co2;WW;Discus;52.252;13.235;47
EX90;HUB_Thyrow_D1;weather3;soil6;2011;11.04.2011;15.09.2011;no_irrig;manag9;no_fert;fert11;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX91;HUB_Thyrow_D1;weather3;soil6;2011;25.08.2010;13.07.2011;no_irrig;manag10;no_fert;fert15;resi3;no_co2;WC;Elektra;52.252;13.235;47
EX92;HUB_Thyrow_D1;weather3;soil6;2011;07.10.2010;26.07.2011;no_irrig;manag11;no_fert;fert13;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX93;HUB_Thyrow_D1;weather3;soil6;2011;07.10.2010;19.07.2011;no_irrig;manag12;no_fert;fert13;no_resi;no_co2;WW;Discus;52.252;13.235;47
EX94;HUB_Thyrow_D1;weather3;soil6;2011;11.04.2011;15.09.2011;no_irrig;manag9;no_fert;fert11;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX95;HUB_Thyrow_D1;weather3;soil6;2011;25.08.2010;13.07.2011;no_irrig;manag10;no_fert;fert15;no_resi;no_co2;WC;Elektra;52.252;13.235;47
EX96;HUB_Thyrow_D1;weather3;soil6;2011;07.10.2010;26.07.2011;no_irrig;manag11;no_fert;fert13;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX97;HUB_Thyrow_D1;weather3;soil6;2011;07.10.2010;19.07.2011;no_irrig;manag12;no_fert;fert13;no_resi;no_co2;WW;Discus;52.252;13.235;47
EX98;HUB_Thyrow_D1;weather3;soil6;2011;11.04.2011;15.09.2011;irrig11;manag9;no_fert;no_fert;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX99;HUB_Thyrow_D1;weather3;soil6;2011;25.08.2010;13.07.2011;irrig12;manag10;no_fert;no_fert;resi3;no_co2;WC;Elektra;52.252;13.235;47
EX100;HUB_Thyrow_D1;weather3;soil6;2011;07.10.2010;26.07.2011;irrig13;manag11;no_fert;no_fert;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX101;HUB_Thyrow_D1;weather3;soil6;2011;07.10.2010;19.07.2011;irrig12;manag12;no_fert;no_fert;no_resi;no_co2;WW;Discus;52.252;13.235;47
EX102;HUB_Thyrow_D1;weather3;soil6;2011;11.04.2011;15.09.2011;irrig11;manag9;no_fert;fert12;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX103;HUB_Thyrow_D1;weather3;soil6;2011;25.08.2010;13.07.2011;irrig12;manag10;no_fert;fert16;resi3;no_co2;WC;Elektra;52.252;13.235;47
EX104;HUB_Thyrow_D1;weather3;soil6;2011;07.10.2010;26.07.2011;irrig13;manag11;no_fert;fert14;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX105;HUB_Thyrow_D1;weather3;soil6;2011;07.10.2010;19.07.2011;irrig12;manag12;no_fert;fert14;no_resi;no_co2;WW;Discus;52.252;13.235;47
EX106;HUB_Thyrow_D1;weather3;soil6;2011;11.04.2011;15.09.2011;irrig11;manag9;no_fert;fert11;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX107;HUB_Thyrow_D1;weather3;soil6;2011;25.08.2010;13.07.2011;irrig12;manag10;no_fert;fert15;resi3;no_co2;WC;Elektra;52.252;13.235;47
EX108;HUB_Thyrow_D1;weather3;soil6;2011;07.10.2010;26.07.2011;irrig13;manag11;no_fert;fert13;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX109;HUB_Thyrow_D1;weather3;soil6;2011;07.10.2010;19.07.2011;irrig12;manag12;no_fert;fert13;no_resi;no_co2;WW;Discus;52.252;13.235;47
EX110;HUB_Thyrow_D1;weather3;soil6;2011;11.04.2011;15.09.2011;irrig11;manag9;no_fert;fert11;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX111;HUB_Thyrow_D1;weather3;soil6;2011;25.08.2010;13.07.2011;irrig12;manag10;no_fert;fert15;no_resi;no_co2;WC;Elektra;52.252;13.235;47
EX112;HUB_Thyrow_D1;weather3;soil6;2011;07.10.2010;26.07.2011;irrig13;manag11;no_fert;fert13;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX113;HUB_Thyrow_D1;weather3;soil6;2011;07.10.2010;19.07.2011;irrig12;manag12;no_fert;fert13;no_resi;no_co2;WW;Discus;52.252;13.235;47
EX114;HUB_Thyrow_D1;weather3;soil6;2012;16.04.2012;06.09.2012;no_irrig;manag13;no_fert;no_fert;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX115;HUB_Thyrow_D1;weather3;soil6;2012;29.09.2011;27.07.2012;no_irrig;manag15;no_fert;no_fert;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX116;HUB_Thyrow_D1;weather3;soil6;2012;29.09.2011;24.07.2012;no_irrig;manag16;no_fert;no_fert;no_resi;no_co2;WW;Discus;52.252;13.235;47
EX117;HUB_Thyrow_D1;weather3;soil6;2012;16.04.2012;06.09.2012;no_irrig;manag13;no_fert;fert22;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX118;HUB_Thyrow_D1;weather3;soil6;2012;08.08.2011;10.07.2012;no_irrig;manag14;no_fert;fert20;resi4;no_co2;WC;Elektra;52.252;13.235;47
EX119;HUB_Thyrow_D1;weather3;soil6;2012;29.09.2011;27.07.2012;no_irrig;manag15;no_fert;fert18;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX120;HUB_Thyrow_D1;weather3;soil6;2012;29.09.2011;24.07.2012;no_irrig;manag16;no_fert;fert18;no_resi;no_co2;WW;Discus;52.252;13.235;47
EX121;HUB_Thyrow_D1;weather3;soil6;2012;16.04.2012;06.09.2012;no_irrig;manag13;no_fert;fert21;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX122;HUB_Thyrow_D1;weather3;soil6;2012;08.08.2011;10.07.2012;no_irrig;manag14;no_fert;fert19;resi4;no_co2;WC;Elektra;52.252;13.235;47
EX123;HUB_Thyrow_D1;weather3;soil6;2012;29.09.2011;27.07.2012;no_irrig;manag15;no_fert;fert17;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX124;HUB_Thyrow_D1;weather3;soil6;2012;29.09.2011;24.07.2012;no_irrig;manag16;no_fert;fert17;no_resi;no_co2;WW;Discus;52.252;13.235;47
EX125;HUB_Thyrow_D1;weather3;soil6;2012;16.04.2012;06.09.2012;no_irrig;manag13;no_fert;fert21;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX126;HUB_Thyrow_D1;weather3;soil6;2012;08.08.2011;10.07.2012;no_irrig;manag14;no_fert;fert19;no_resi;no_co2;WC;Elektra;52.252;13.235;47
EX127;HUB_Thyrow_D1;weather3;soil6;2012;29.09.2011;27.07.2012;no_irrig;manag15;no_fert;fert17;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX128;HUB_Thyrow_D1;weather3;soil6;2012;29.09.2011;24.07.2012;no_irrig;manag16;no_fert;fert17;no_resi;no_co2;WW;Discus;52.252;13.235;47
EX129;HUB_Thyrow_D1;weather3;soil6;2012;16.04.2012;06.09.2012;irrig15;manag13;no_fert;no_fert;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX130;HUB_Thyrow_D1;weather3;soil6;2012;29.09.2011;27.07.2012;irrig14;manag15;no_fert;no_fert;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX131;HUB_Thyrow_D1;weather3;soil6;2012;29.09.2011;24.07.2012;irrig14;manag16;no_fert;no_fert;no_resi;no_co2;WW;Discus;52.252;13.235;47
EX132;HUB_Thyrow_D1;weather3;soil6;2012;16.04.2012;06.09.2012;irrig15;manag13;no_fert;fert22;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX133;HUB_Thyrow_D1;weather3;soil6;2012;08.08.2011;10.07.2012;irrig14;manag14;no_fert;fert20;resi4;no_co2;WC;Elektra;52.252;13.235;47
EX134;HUB_Thyrow_D1;weather3;soil6;2012;29.09.2011;27.07.2012;irrig14;manag15;no_fert;fert18;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX135;HUB_Thyrow_D1;weather3;soil6;2012;29.09.2011;24.07.2012;irrig14;manag16;no_fert;fert18;no_resi;no_co2;WW;Discus;52.252;13.235;47
EX136;HUB_Thyrow_D1;weather3;soil6;2012;16.04.2012;06.09.2012;irrig15;manag13;no_fert;fert21;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX137;HUB_Thyrow_D1;weather3;soil6;2012;08.08.2011;10.07.2012;irrig14;manag14;no_fert;fert19;resi4;no_co2;WC;Elektra;52.252;13.235;47
EX138;HUB_Thyrow_D1;weather3;soil6;2012;29.09.2011;27.07.2012;irrig14;manag15;no_fert;fert17;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX139;HUB_Thyrow_D1;weather3;soil6;2012;29.09.2011;24.07.2012;irrig14;manag16;no_fert;fert17;no_resi;no_co2;WW;Discus;52.252;13.235;47
EX140;HUB_Thyrow_D1;weather3;soil6;2012;16.04.2012;06.09.2012;irrig15;manag13;no_fert;fert21;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX141;HUB_Thyrow_D1;weather3;soil6;2012;08.08.2011;10.07.2012;irrig14;manag14;no_fert;fert19;no_resi;no_co2;WC;Elektra;52.252;13.235;47
EX142;HUB_Thyrow_D1;weather3;soil6;2012;29.09.2011;27.07.2012;irrig14;manag15;no_fert;fert17;no_resi;no_co2;WR;Boresto;52.252;13.235;47
EX143;HUB_Thyrow_D1;weather3;soil6;2012;29.09.2011;24.07.2012;irrig14;manag16;no_fert;fert17;no_resi;no_co2;WW;Discus;52.252;13.235;47
EX144;HUB_Thyrow_D1;weather3;soil6;2013;23.04.2013;10.09.2013;no_irrig;manag17;no_fert;no_fert;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX145;HUB_Thyrow_D1;weather3;soil6;2013;20.08.2012;22.07.2013;no_irrig;manag18;no_fert;no_fert;resi5;no_co2;WC;Visby;52.252;13.235;47
EX146;HUB_Thyrow_D1;weather3;soil6;2013;04.10.2012;02.08.2013;no_irrig;manag19;no_fert;no_fert;no_resi;no_co2;WR;Conduct;52.252;13.235;47
EX147;HUB_Thyrow_D1;weather3;soil6;2013;04.10.2012;26.07.2013;no_irrig;manag20;no_fert;no_fert;no_resi;no_co2;WW;Discus;52.252;13.235;47
EX148;HUB_Thyrow_D1;weather3;soil6;2013;23.04.2013;10.09.2013;no_irrig;manag17;no_fert;fert26;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX149;HUB_Thyrow_D1;weather3;soil6;2013;20.08.2012;22.07.2013;no_irrig;manag18;no_fert;fert24;resi5;no_co2;WC;Visby;52.252;13.235;47
EX150;HUB_Thyrow_D1;weather3;soil6;2013;04.10.2012;02.08.2013;no_irrig;manag19;no_fert;fert26;no_resi;no_co2;WR;Conduct;52.252;13.235;47
EX151;HUB_Thyrow_D1;weather3;soil6;2013;04.10.2012;26.07.2013;no_irrig;manag20;no_fert;fert26;no_resi;no_co2;WW;Discus;52.252;13.235;47
EX152;HUB_Thyrow_D1;weather3;soil6;2013;23.04.2013;10.09.2013;no_irrig;manag17;no_fert;fert25;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX153;HUB_Thyrow_D1;weather3;soil6;2013;20.08.2012;22.07.2013;no_irrig;manag18;no_fert;fert23;resi5;no_co2;WC;Visby;52.252;13.235;47
EX154;HUB_Thyrow_D1;weather3;soil6;2013;04.10.2012;02.08.2013;no_irrig;manag19;no_fert;fert25;no_resi;no_co2;WR;Conduct;52.252;13.235;47
EX155;HUB_Thyrow_D1;weather3;soil6;2013;04.10.2012;26.07.2013;no_irrig;manag20;no_fert;fert25;no_resi;no_co2;WW;Discus;52.252;13.235;47
EX156;HUB_Thyrow_D1;weather3;soil6;2013;23.04.2013;10.09.2013;no_irrig;manag17;no_fert;fert25;no_resi;no_co2;PO;Afra;52.252;13.235;47
EX157;HUB_Thyrow_D1;weather3;soil6;2013;20.08.2012;22.07.2013;no_irrig;manag18;no_fert;fert23;no_resi;no_co2;WC;Visby;52.252;13.235;47
EX158;HUB_Thyrow_D1;weather3;soil6;2013;04.10.2012;02.08.2013;no_irrig;manag19;no_fert;fert25;no_resi;no_co2;WR;Conduct;52.252;13.235;47
