Experiment;Name;Weather;Soil;Year;Sowing;Harvest;Irrigation;Management;Fertilisation_org;Fertilisation_min;Residues;CO2;Crop;Cultivar;Lat;Long;Elevation
EX1;ATB_Marquart;weather1;soil1;2015;19.10.2014;22.07.2015;irrig1;;no_fert;;no_resi;no_co2;WW;Opal, Kerubino;52.467;12.959;40
EX2;ATB_Marquart;weather1;soil1;2015;19.10.2014;22.07.2015;no_irrig;;no_fert;;no_resi;no_co2;WW;Opal, Kerubino;52.467;12.959;40
EX3;ATB_Marquart;weather1;soil2;2015;19.10.2014;04.08.2015;irrig1;;no_fert;;no_resi;no_co2;WW;Opal, Kerubino;52.467;12.959;40
EX4;ATB_Marquart;weather1;soil2;2015;19.10.2014;04.08.2015;no_irrig;;no_fert;;no_resi;no_co2;WW;Opal, Kerubino;52.467;12.959;40
EX5;ATB_Marquart;weather1;soil1;2016;12.10.2015;20.07.2016;no_irrig;;no_fert;;no_resi;no_co2;WW;Opal, Kerubino;52.467;12.959;40
EX6;ATB_Marquart;weather1;soil1;2016;12.10.2015;20.07.2016;irrig2;;no_fert;;no_resi;no_co2;WW;Opal, Kerubino;52.467;12.959;40
EX7;ATB_Marquart;weather1;soil2;2016;12.10.2015;20.07.2016;irrig2;;no_fert;;no_resi;no_co2;WW;Opal, Kerubino;52.467;12.959;40
EX8;ATB_Marquart;weather1;soil2;2016;12.10.2015;20.07.2016;no_irrig;;no_fert;;no_resi;no_co2;WW;Opal, Kerubino;52.467;12.959;40
EX9;ATB_Marquart;weather1;soil3;2017;23.09.2016;31.07.2017;no_irrig;;no_fert;;no_resi;no_co2;WW;Edgar, Kerubino;52.467;12.959;40
EX10;ATB_Marquart;weather1;soil3;2017;23.09.2016;31.07.2017;irrig3;;no_fert;;no_resi;no_co2;WW;Edgar, Kerubino;52.467;12.959;40
EX11;FI_Dahlhausen;weather2;soil4;2018;;19.09.2018;irrig4;;no_fert;;no_resi;no_co2;SM;no_cultivar;53.058;12.332;57
EX12;FI_Dahlhausen;weather2;soil5;2018;;19.09.2018;Irrig4;;no_fert;;no_resi;no_co2;SM;no_cultivar;53.058;12.332;57
EX13;FI_Dahlhausen;weather2;soil4;2018;;19.09.2018;no_irrig;;no_fert;;no_resi;no_co2;SM;no_cultivar;53.058;12.332;57
EX14;FI_Dahlhausen;weather2;soil5;2018;;19.09.2018;no_irrig;;no_fert;;no_resi;no_co2;SM;no_cultivar;53.058;12.332;57
EX15;FI_Dahlhausen;weather2;soil4;2019;;24.07.2019;no_irrig;;no_fert;;no_resi;no_co2;WW;no_cultivar;53.058;12.332;57
EX16;FI_Dahlhausen;weather2;soil5;2019;;24.07.2019;no_irrig;;no_fert;;no_resi;no_co2;WW;no_cultivar;53.058;12.332;57
EX17;FI_Dahlhausen;weather2;soil4;2019;;24.07.2019;irrig5;;no_fert;;no_resi;no_co2;WW;no_cultivar;53.058;12.332;57
EX18;FI_Dahlhausen;weather2;soil5;2019;;24.07.2019;irrig5;;no_fert;;no_resi;no_co2;WW;no_cultivar;53.058;12.332;57
EX19;FI_Dahlhausen;weather2;soil5;2020;;;no_irrig;;no_fert;;no_resi;no_co2;PO;no_cultivar;53.058;12.332;57
EX20;FI_Dahlhausen;weather2;soil4;2020;;;irrig6;;no_fert;;no_resi;no_co2;PO;no_cultivar;53.058;12.332;57
