Management;Date;Measure;Depth
manag70;02.10.2020;Grubbern;18
manag71;04.10.2021;Scheiben;8
manag71;04.10.2021;Grubbern;18
manag72;04.10.2021;Scheiben;8
manag72;04.10.2021;Grubbern;12
manag73;23.09.2022;Grubbern;18
manag74;24.04.2008;Pfluegen;22
manag75;01.10.2007;Pfluegen;22
manag76;21.04.2009;Pfluegen;20
manag77;21.04.2010;Pfluegen;23
manag78;29.04.2011;Pfluegen;22
manag79;24.04.2012;Pfluegen;22
manag80;24.09.2011;Pfluegen;25
manag81;24.04.2013;Pfluegen;22
manag82;15.04.2014;Pfluegen;22
manag83;28.04.2015;Pfluegen;23
manag84;22.04.2016;Pfluegen;22
manag85;24.04.2018;Pfluegen;23
manag86;19.09.2008;Pfluegen;22
manag87;27.09.2012;Pfluegen;22
manag88;02.10.2020;Grubbern;18
