Management;Date;Measure;Depth
manag1;14.10.2008;Scheiben;15
manag1;10.11.2008;Pfluegen;25
manag1;10.11.2008;Scheiben;15
manag2;12.09.2008;Grubbern;15
manag2;20.09.2008;Pfluegen;20
manag2;29.09.2008;Eggen;5
manag3;26.06.2008;Scheiben;15
manag3;04.08.2008;Scheiben;15
manag3;05.08.2008;Pfluegen;20
manag3;25.08.2008;Eggen;5
manag4;08.07.2008;Mulchen;0
manag4;04.08.2008;Scheiben;15
manag4;28.08.2008;Grubbern;20
manag4;15.09.2008;Pfluegen;20
manag4;29.09.2009;Eggen;5
manag5;05.11.2009;Mulchen;0
manag5;11.11.2009;Pfluegen;25
manag5;06.04.2010;Eggen;5
manag6;08.07.2009;Scheiben;15
manag6;08.07.2009;Mulchen;0
manag6;21.07.2009;Scheiben;15
manag6;05.08.2009;Pfluegen;20
manag6;26.08.2009;Eggen;5
manag7;08.07.2009;Scheiben;15
manag7;21.07.2009;Scheiben;15
manag7;26.08.2009;Scheiben;15
manag7;04.09.2009;Scheiben;15
manag7;14.09.2009;Pfluegen;20
manag7;16.09.2009;Eggen;5
manag8;28.08.2009;Saatbettbereitung;5
manag8;16.09.2009;Saatbettbereitung;5
manag9;05.11.2010;Mulchen;0
manag9;10.11.2010;Scheiben;15
manag9;10.11.2010;Pfluegen;20
manag9;16.03.2011;Saatbettbereitung;5
manag9;31.03.2011;Eggen;5
manag10;26.07.2010;Scheiben;15
manag10;26.07.2010;Mulchen;0
manag10;03.08.2010;Pfluegen;20
manag10;25.08.2010;Eggen;5
manag11;16.07.2010;Scheiben;15
manag11;16.07.2010;Mulchen;0
manag11;07.10.2010;Pfluegen;20
manag11;07.10.2010;Saatbettbereitung;5
manag12;06.10.2010;Grubbern;20
manag13;07.11.2011;Pfluegen;25
manag13;18.03.2012;Saatbettbereitung;5
manag13;11.04.2012;Eggen;5
manag14;24.07.2011;Scheiben;15
manag14;29.07.2011;Pfluegen;22
manag14;08.08.2011;Eggen;5
manag15;14.07.2011;Mulchen;0
manag15;25.07.2011;Scheiben;15
manag15;01.09.2011;Scheiben;15
manag15;05.09.2011;Pfluegen;20
manag15;28.09.2011;Saatbettbereitung;5
manag16;28.09.2011;Saatbettbereitung;5
manag17;30.07.2012;Scheiben;15
manag17;03.11.2012;Pfluegen;25
manag17;22.04.2013;Eggen;5
manag18;01.08.2012;Scheiben;15
manag18;13.08.2012;Eggen;5
manag18;13.08.2012;Pfluegen;20
manag19;10.07.2012;Mulchen;0
manag19;28.09.2012;Pfluegen;20
manag19;02.10.2012;Saatbettbereitung;5
manag20;16.08.2012;Pfluegen;20
manag20;02.10.2012;Saatbettbereitung;5
manag21;02.09.2013;Pfluegen;25
manag21;21.03.2014;Saatbettbereitung;5
manag21;08.04.2014;Eggen;5
manag22;15.08.2013;Pfluegen;20
manag22;26.08.2013;Saatbettbereitung;5
manag23;26.08.2013;Pfluegen;20
manag23;26.09.2013;Saatbettbereitung;5
manag24;31.08.2013;Saatbettbereitung;5
manag24;02.09.2013;Pfluegen;20
manag25;30.04.2014;Scheiben;15
manag25;29.10.2014;Mulchen;0
manag25;10.11.2014;Pfluegen;25
manag25;10.03.2015;Scheiben;15
manag25;08.04.2015;Eggen;5
manag26;22.08.2014;Pfluegen;20
manag26;25.08.2014;Saatbettbereitung;5
manag27;10.08.2014;Mulchen;0
manag27;03.09.2014;Mulchen;0
manag27;11.09.2014;Pfluegen;20
manag27;22.09.2014;Eggen;5
manag28;03.09.2014;Saatbettbereitung;5
manag28;05.09.2014;Pfluegen;20
manag28;22.09.2014;Eggen;5
manag29;10.11.2015;Pfluegen;25
manag29;07.04.2016;Saatbettbereitung;10
manag29;13.04.2016;Saatbettbereitung;10
manag30;24.08.2015;Pfluegen;20
manag30;25.08.2015;Saatbettbereitung;10
manag30;26.08.2015;Walzen;0
manag31;24.07.2015;Scheiben;15
manag31;11.09.2015;Pfluegen;20
manag31;21.09.2015;Saatbettbereitung;10
manag32;11.09.2015;Pfluegen;20
manag32;21.09.2015;Saatbettbereitung;10
manag33;08.11.2016;Pfluegen;25
manag33;05.04.2017;Saatbettbereitung;10
manag34;02.08.2016;Grundbodenbearbeitung;15
manag34;16.08.2016;Pfluegen;20
manag34;26.08.2016;Walzen;0
manag34;26.08.2016;Saatbettbereitung;10
manag35;19.09.2016;Pfluegen;20
manag35;20.09.2016;Saatbettbereitung;10
manag36;20.09.2016;Saatbettbereitung;10
manag36;20.09.2016;Pfluegen;20
manag37;24.11.2017;Pfluegen;22
manag37;11.04.2018;Saatbettbereitung;10
manag38;11.08.2017;Grundbodenbearbeitung;15
manag38;22.08.2017;Pfluegen;20
manag38;23.08.2017;Saatbettbereitung;10
manag38;23.08.2017;Walzen;0
manag39;14.09.2017;Pfluegen;20
manag39;25.09.2017;Saatbettbereitung;10
manag40;27.09.2017;Pfluegen;20
manag40;28.09.2017;Saatbettbereitung;10
manag40;23.11.2018;Pfluegen;25
manag41;21.03.2019;Saatbettbereitung;10
manag41;02.04.2019;Saatbettbereitung;10
manag41;20.05.2019;Striegeln;3
manag41;27.05.2019;Haeufeln;5
manag41;13.06.2019;Haeufeln;5
manag42;27.07.2018;Grundbodenbearbeitung;15
manag42;29.08.2018;Pfluegen;20
manag42;31.08.2018;Saatbettbereitung;15
manag42;31.08.2018;Walzen;0
manag43;29.08.2018;Pfluegen;20
manag43;24.09.2018;Saatbettbereitung;10
manag44;29.08.2018;Pfluegen;20
manag44;06.09.2018;Grundbodenbearbeitung;15
manag44;24.09.2018;Saatbettbereitung;10
manag45;11.11.2019;Fraesen;10
manag45;12.11.2019;Pfluegen;25
manag45;17.03.2020;Saatbettbereitung;10
manag45;06.04.2020;Saatbettbereitung;10
manag45;04.05.2020;Striegeln;5
manag45;07.05.2020;Haeufeln;5
manag45;14.05.2020;Striegeln;5
manag45;18.05.2020;Haeufeln;5
manag45;08.06.2020;Haeufeln;10
manag45;15.06.2020;Haeufeln;10
manag46;30.08.2019;Saatbettbereitung;10
manag46;30.08.2019;Pfluegen;25
manag46;02.09.2019;Walzen;0
manag47;30.08.2019;Pfluegen;25
manag47;20.09.2019;Saatbettbereitung;10
manag48;09.10.2019;Grubbern;10
manag48;10.10.2019;Pfluegen;22
manag48;10.10.2019;Saatbettbereitung;10
manag49;27.10.2020;Fraesen;15
manag49;27.10.2020;Pfluegen;23
manag49;24.03.2021;Saatbettbereitung;15
manag49;26.04.2021;Striegeln;5
manag49;04.05.2021;H�ufeln;10
manag49;07.06.2021;Striegeln;5
manag49;21.06.2021;Haeufeln;10
manag50;03.08.2020;Fraesen;15
manag50;27.08.2020;Pfluegen;20
manag50;28.08.2020;Saatbettbereitung;10
manag51;24.08.2020;Fraesen;10
manag51;11.09.2020;Pfluegen;20
manag51;25.09.2020;Saatbettbereitung;15
manag52;11.09.2020;Pfluegen;20
manag52;14.09.2020;Saatbettbereitung;10
manag53;25.08.1999;Grubbern;18
manag53;09.09.1999;Grubbern;10
manag54;17.03.2001;Fraesen;10
manag54;06.04.2001;Pfluegen;20
manag55;04.11.2001;Fraesen;10
manag55;07.11.2001;Pfluegen;20
manag56;14.08.2002;Grubbern;15
manag56;11.09.2002;Grubbern;15
manag56;22.09.2002;Pfluegen;20
manag57;15.03.2004;Fraesen;10
manag57;30.03.2004;Pfluegen;20
manag58;25.10.2004;Fraesen;10
manag58;25.10.2004;Pfluegen;20
manag59;16.04.2007;Pfluegen;20
manag59;13.06.2007;Fraesen;10
manag60;27.03.2019;Pfluegen;23
manag60;26.04.2019;Saatbettbereitung;5
manag61;31.03.2020;Scheiben;5
manag61;17.04.2020;Grubbern;12
manag61;20.04.2020;Grubbern;12
manag62;21.04.2020;Saatbettbereitung;5
manag63;26.03.2021;Ringschneider;6
manag63;12.04.2021;Ringschneider;6
manag63;14.04.2021;Ringschneider;6
manag63;20.04.2021;Ringschneider;6
manag63;17.05.2021;Hacken;3
manag64;26.03.2021;Ringschneider;6
manag64;12.04.2021;Ringschneider;6
manag64;14.04.2021;Ringschneider;6
manag65;20.04.2022;Grubbern;5
manag66;19.04.2022;Grubbern;18
manag66;20.04.2022;Grubbern;12
manag67;28.03.2023;Scheiben;8
manag68;28.03.2023;Grubbern;8
manag68;12.04.2023;Grubbern;12
manag69;27.03.2019;Pfluegen;23
