Fertilisation_min;Date;Amount_kg_ha;Material
fert1;16.03.2009;80;KAS
fert1;08.04.2009;40;KAS
fert2;16.03.2009;60;KAS
fert3;31.03.2009;120;KAS
fert4;31.03.2009;60;KAS
fert5;08.09.2008;30;KAS
fert5;04.03.2009;120;KAS
fert6;08.09.2008;30;KAS
fert6;04.03.2009;60;KAS
fert7;16.04.2010;120;KAS
fert8;16.04.2010;60;KAS
fert9;01.10.2009;30;KAS
fert9;09.03.2010;120;KAS
fert10;01.10.2009;30;KAS
fert10;09.03.2010;60;KAS
fert11;31.03.2011;120;KAS
fert12;31.03.2011;60;KAS
fert13;02.03.2011;120;KAS
fert14;02.03.2011;60;KAS
fert15;10.09.2010;30;KAS
fert15;01.03.2011;120;KAS
fert16;10.09.2010;30;KAS
fert16;01.03.2011;60;KAS
fert17;06.03.2012;120;KAS
fert18;06.03.2012;60;KAS
fert19;10.09.2011;30;KAS
fert19;06.03.2012;120;KAS
fert20;10.09.2011;30;KAS
fert20;06.03.2012;60;KAS
fert17;06.03.2012;120;KAS
fert18;06.03.2012;60;KAS
fert21;07.03.2012;120;KAS
fert22;07.03.2012;60;KAS
fert23;22.08.2012;30;KAS
fert23;18.03.2013;120;KAS
fert24;22.08.2012;30;KAS
fert24;18.03.2013;60;KAS
fert25;18.03.2013;120;KAS
fert26;18.03.2013;60;KAS
fert27;03.03.2014;120;KAS
fert28;03.03.2014;60;KAS
fert29;09.04.2014;120;KAS
fert30;09.04.2014;60;KAS
fert31;03.09.2013;30;KAS
fert31;24.02.2014;120;KAS
fert32;03.09.2013;30;KAS
fert32;24.02.2014;60;KAS
fert33;09.04.2015;120;KAS
fert34;09.04.2015;60;KAS
fert35;09.03.2015;120;KAS
fert36;09.03.2015;60;KAS
fert37;08.09.2014;50;KAS
fert37;09.03.2015;120;KAS
fert38;08.09.2014;50;KAS
fert38;09.03.2015;60;KAS
fert39;13.04.2016;120;KAS
fert40;13.04.2016;60;KAS
fert41;22.03.2016;120;KAS
fert42;22.03.2016;60;KAS
fert43;28.09.2015;30;KAS
fert43;01.03.2016;120;KAS
fert44;28.09.2015;30;KAS
fert44;01.03.2016;60;KAS
fert45;03.03.2017;120;KAS
fert46;03.03.2017;60;KAS
fert47;30.08.2016;50;KAS
fert47;03.03.2017;120;KAS
fert48;30.08.2016;50;KAS
fert48;03.03.2017;60;KAS
fert49;04.04.2017;120;KAS
fert50;04.04.2017;60;KAS
fert51;31.08.2017;50;KAS
fert51;05.03.2018;120;KAS
fert52;31.08.2017;50;KAS
fert52;05.03.2018;60;KAS
fert53;15.03.2018;120;KAS
fert54;15.03.2018;60;KAS
fert55;09.04.2018;120;KAS
fert56;09.04.2018;60;KAS
fert57;21.03.2018;120;KAS
fert58;21.03.2018;60;KAS
fert59;28.02.2019;120;KAS
fert60;28.02.2019;60;KAS
fert61;01.04.2019;120;KAS
fert62;01.04.2019;60;KAS
fert63;12.09.2018;50;KAS
fert63;19.02.2019;120;KAS
fert64;12.09.2018;50;KAS
fert64;19.02.2019;60;KAS
fert65;06.04.2020;120;KAS
fert66;06.04.2020;60;KAS
fert67;05.03.2020;120;KAS
fert68;05.03.2020;60;KAS
fert69;17.09.2019;50;KAS
fert69;25.02.2020;120;KAS
fert70;17.09.2019;50;KAS
fert70;25.02.2020;60;KAS
fert71;07.04.2021;120;KAS
fert72;07.04.2021;60;KAS
fert73;25.02.2021;120;KAS
fert74;25.02.2021;60;KAS
fert75;24.09.2020;50;KAS
fert75;24.02.2021;120;KAS
fert76;24.09.2020;50;KAS
fert76;24.02.2021;60;KAS
fert77;28.02.2022;120;KAS
fert78;28.02.2022;60;KAS
fert79;02.09.2021;30;KAS
fert79;22.02.2022;120;KAS
fert80;02.09.2021;30;KAS
fert80;22.02.2022;60;KAS
fert81;07.04.2021;120;KAS
fert82;07.04.2021;60;KAS
fert83;08.09.1999;112.5;Guelle
fert83;22.03.2000;54;N
fert83;11.04.2000;36;N
fert83;27.04.2000;1;N
fert83;05.05.2000;60;N
fert83;16.05.2000;1;N
fert84;08.09.1999;28.1;Guelle
fert84;22.03.2000;27;N
fert84;11.04.2000;18;N
fert84;27.04.2000;1;N
fert84;05.05.2000;30;N
fert84;16.05.2000;1;N
fert85;23.04.2001;72;N
fert85;06.06.2001;54;N
fert86;23.04.2001;36;N
fert86;06.06.2001;27;N
fert87;25.03.2002;72;N
fert87;02.04.2002;72;N
fert87;08.05.2002;36;N
fert87;03.06.2002;45;N
fert87;17.06.2002;25;N
fert88;02.04.2002;72;N
fert88;08.05.2002;18;N
fert88;03.06.2002;23;N
fert89;17.03.2003;31;N
fert89;03.04.2003;5;N
fert89;25.04.2003;20;N
fert89;05.05.2003;40;N
fert89;15.05.2003;10;N
fert90;17.03.2003;16;N
fert90;03.04.2003;5;N
fert90;25.04.2003;10;N
fert90;05.05.2003;25;N
fert90;15.05.2003;5;N
fert91;26.02.2004;54;N
fert91;19.04.2004;48;N
fert91;16.06.2004;54;N
fert92;26.02.2004;54;N
fert92;19.04.2004;24;N
fert93;23.03.2005;48;N
fert93;02.05.2005;72;N
fert93;17.05.2005;48;N
fert94;23.03.2005;24;N
fert94;02.05.2005;36;N
fert94;17.05.2005;24;N
fert95;30.04.2007;36;N
fert95;22.05.2007;99;N
fert95;25.05.2007;36;N
fert96;09.05.2008;36;N
fert96;13.05.2008;108;N
fert96;05.06.2008;54;N
fert97;29.04.2019;140;Piasan 25/6
fert98;30.04.2019;170;Piasan 25/6
fert99;10.04.2019;60;Piasan 25/6
fert100;24.04.2020;150;Piasan 25/6
fert101;25.04.2020;120;Piasan 25/6
fert102;01.04.2020;50;Piasan 25/6
fert102;23.04.2020;80;Piasan 25/6
fert103;30.04.2021;120;Piasan 25/6
fert104;30.04.2021;150;Piasan 25/6
fert105;05.03.2021;40;Piasan 25/6
fert105;21.04.2021;40;Piasan 25/6
fert106;05.05.2022;150;Piasan 25/6
fert107;05.05.2022;120;Piasan 25/6
fert108;05.05.2022;180;Piasan 25/6
fert109;05.05.2022;100;Piasan 25/6
fert110;16.03.2022;60;Piasan 25/6
fert110;20.04.2022;40;Piasan 25/6
fert111;20.03.2023;50;Piasan 25/6
fert112;24.04.2008;27;DAP
fert112;06.05.2008;200;Piasan 24 S
fert113;14.03.2008;99;Piasan 24 S
fert114;22.04.2009;18;DAP
fert114;04.05.2009;178;Piasan 24 S
fert115;06.03.2009;60;Piasan 24 S
fert115;20.03.2009;80;ALZON fluessig-S
fert116;30.04.2010;18;DAP
fert116;04.05.2010;180;NTS 27/3
fert117;02.05.2011;27;DAP
fert117;02.05.2011;125;NTS 27/3
fert118;02.05.2011;27;DAP
fert118;02.05.2011;155;NTS 27/3
fert119;25.04.2012;27;DAP
fert119;02.05.2012;180;Alzon fluessig S 25/6
fert120;25.04.2012;27;DAP
fert120;02.05.2012;210;Alzon fluessig S 25/6
fert121;12.03.2012;90;NTS 27/3
fert122;26.04.2013;18;DAP
fert122;02.05.2013;140;NTS 27/3
fert123;26.04.2013;18;DAP
fert123;02.05.2013;170;NTS 27/3
fert124;07.03.2013;50;NTS 27/3
fert124;23.04.2013;80;NTS 27/3
fert125;22.04.2014;18;DAP
fert125;29.04.2014;140;NTS 27/3
fert126;22.04.2014;18;DAP
fert126;29.04.2014;170;NTS 27/3
fert127;30.04.2015;18;DAP
fert127;07.05.2015;125;NTS 27/3
fert128;30.04.2015;18;DAP
fert128;07.05.2015;155;NTS 27/3
fert129;25.04.2016;18;DAP
fert129;27.04.2016;150;Piasan 25/6
