Fertilisation_min;Date;Amount_kg_ha;Material
fert130;25.04.2016;18;DAP
fert130;27.04.2016;180;Piasan 25/6
fert131;13.04.2017;120;Piasan 25/6
fert132;27.04.2018;18;DAP
fert132;02.05.2018;130;Piasan 25/6
fert133;27.04.2018;18;DAP
fert133;02.05.2018;150;Piasan 25/6
fert134;18.08.2017;37;N
fert134;23.03.2018;43;N
fert134;26.03.2018;43;N
fert134;30.03.2018;115;N
fert135;27.02.2019;58;N
fert135;20.03.2019;99;N
fert136;22.03.2010;60;KAS
fert136;01.04.2010;100;KAS
fert137;21.03.2011;60;KAS
fert137;01.04.2011;100;KAS
