Irrigation,Date,Amount_mm
irrig48,2000-05-06,24
irrig48,2000-05-13,24
irrig48,2000-06-06,21
irrig49,2001-06-25,20
irrig49,2001-07-26,21
irrig49,2001-07-31,22
irrig49,2001-08-15,22
irrig49,2001-08-22,22
irrig50,2002-05-22,21
irrig50,2002-06-04,19
irrig50,2002-07-09,20
irrig51,2003-04-23,13
irrig51,2003-05-06,17
irrig51,2003-05-13,15
irrig51,2003-05-28,18
irrig52,2004-07-01,14.5
irrig52,2004-08-04,28
irrig52,2004-08-12,21
irrig52,2004-09-15,20
irrig53,2005-05-24,15
irrig53,2005-06-01,19
irrig53,2005-06-10,15
irrig53,2005-06-16,17
irrig53,2005-06-22,19
irrig53,2005-06-28,18
irrig53,2005-07-06,18
irrig54,2007-07-20,12.1
irrig54,2007-08-08,11.4
irrig54,2007-08-10,10.7
irrig55,2008-06-27,10
irrig55,2008-07-23,10
irrig55,2008-07-25,10
irrig55,2008-07-28,12
irrig55,2008-07-30,12
irrig55,2008-08-11,15
irrig56,2008-07-30,20
