Experiment,Name,Weather,Soil,Year,Sowing,Harvest,Irrigation,Management,Fertilisation_org,Fertilisation_min,Residues,CO2,Crop,Cultivar,Lat,Long,Elevation
EX467,TI_Braunschweig_FACE,weather7,soil7,2003,2002-09-25,2003-06-26,irrig51,manag56,no_fert,fert90,no_resi,370,WB,Theresa,52.3,10.433,75
EX468,TI_Braunschweig_FACE,weather7,soil7,2003,2002-09-25,2003-06-26,irrig51,manag56,no_fert,fert89,no_resi,550,WB,Theresa,52.3,10.433,75
EX469,TI_Braunschweig_FACE,weather7,soil7,2003,2002-09-25,2003-06-26,irrig51,manag56,no_fert,fert90,no_resi,550,WB,Theresa,52.3,10.433,75
EX470,TI_Braunschweig_FACE,weather8,soil7,2004,2004-04-14,2004-09-28,irrig52,manag57,no_fert,fert91,no_resi,370,SB,Impuls,52.3,10.433,75
EX471,TI_Braunschweig_FACE,weather8,soil7,2004,2004-04-14,2004-09-28,irrig52,manag57,no_fert,fert92,no_resi,370,SB,Impuls,52.3,10.433,75
EX472,TI_Braunschweig_FACE,weather8,soil7,2004,2004-04-14,2004-09-28,irrig52,manag57,no_fert,fert91,no_resi,550,SB,Impuls,52.3,10.433,75
EX473,TI_Braunschweig_FACE,weather8,soil7,2004,2004-04-14,2004-09-28,irrig52,manag57,no_fert,fert92,no_resi,550,SB,Impuls,52.3,10.433,75
EX474,TI_Braunschweig_FACE,weather9,soil7,2005,2004-10-26,2005-07-27,irrig53,manag58,no_fert,fert93,no_resi,370,WW,Batis,52.3,10.433,75
EX475,TI_Braunschweig_FACE,weather9,soil7,2005,2004-10-26,2005-07-27,irrig53,manag58,no_fert,fert94,no_resi,370,WW,Batis,52.3,10.433,75
EX476,TI_Braunschweig_FACE,weather9,soil7,2005,2004-10-26,2005-07-27,irrig53,manag58,no_fert,fert93,no_resi,550,WW,Batis,52.3,10.433,75
EX477,TI_Braunschweig_FACE,weather9,soil7,2005,2004-10-26,2005-07-27,irrig53,manag58,no_fert,fert94,no_resi,550,WW,Batis,52.3,10.433,75
EX478,TI_Braunschweig_FACE,weather10,soil7,2007,2007-04-25,2007-10-02,irrig54,manag59,no_fert,fert95,no_resi,370,SM,Romario,52.3,10.433,75
EX479,TI_Braunschweig_FACE,weather10,soil7,2007,2007-04-25,2007-10-02,no_irrig,manag59,no_fert,fert95,no_resi,370,SM,Romario,52.3,10.433,75
EX480,TI_Braunschweig_FACE,weather10,soil7,2007,2007-04-25,2007-10-02,irrig54,manag59,no_fert,fert95,no_resi,550,SM,Romario,52.3,10.433,75
EX481,TI_Braunschweig_FACE,weather10,soil7,2007,2007-04-25,2007-10-02,no_irrig,manag59,no_fert,fert95,no_resi,550,SM,Romario,52.3,10.433,75
EX482,TI_Braunschweig_FACE,weather11,soil7,2008,2008-05-09,2008-09-29,irrig55,no_manag,no_fert,fert96,no_resi,385,SM,Romario,52.3,10.433,75
EX483,TI_Braunschweig_FACE,weather11,soil7,2008,2008-05-09,2008-09-29,irrig56,no_manag,no_fert,fert96,no_resi,385,SM,Romario,52.3,10.433,75
EX484,TI_Braunschweig_FACE,weather11,soil7,2008,2008-05-09,2008-09-29,irrig55,no_manag,no_fert,fert96,no_resi,550,SM,Romario,52.3,10.433,75
EX485,TI_Braunschweig_FACE,weather11,soil7,2008,2008-05-09,2008-09-29,irrig56,no_manag,no_fert,fert96,no_resi,550,SM,Romario,52.3,10.433,75
