Fertilisation_min,Date,Amount_kg_ha,Material
fert83,2000-03-22,54,N
fert83,2000-04-11,36,N
fert83,2000-04-27,1,N
fert83,2000-05-05,60,N
fert83,2000-05-16,1,N
fert84,2000-03-22,27,N
fert84,2000-04-11,18,N
fert84,2000-04-27,1,N
fert84,2000-05-05,30,N
fert84,2000-05-16,1,N
fert85,2001-04-23,72,N
fert85,2001-06-06,54,N
fert86,2001-04-23,36,N
fert86,2001-06-06,27,N
fert87,2002-03-25,72,N
fert87,2002-04-02,72,N
fert87,2002-05-08,36,N
fert87,2002-06-03,45,N
fert87,2002-06-17,25,N
fert88,2002-04-02,72,N
fert88,2002-05-08,18,N
fert88,2002-06-03,22.5,N
fert89,2003-03-17,31,N
fert89,2003-04-03,5,N
fert89,2003-04-25,20,N
fert89,2003-05-05,40,N
fert89,2003-05-15,10,N
fert90,2003-03-17,15.5,N
fert90,2003-04-03,5,N
fert90,2003-04-25,10,N
fert90,2003-05-05,25,N
fert90,2003-05-15,5,N
fert91,2004-02-26,54,N
fert91,2004-04-19,48,N
fert91,2004-06-16,54,N
fert92,2004-02-26,54,N
fert92,2004-04-19,24,N
fert93,2005-03-23,48,N
fert93,2005-05-02,72,N
fert93,2005-05-17,48,N
fert94,2005-03-23,24,N
fert94,2005-05-02,36,N
fert94,2005-05-17,24,N
fert95,2007-04-30,36,N
fert95,2007-05-22,99,N
fert95,2007-05-25,36,N
fert96,2008-05-09,36,N
fert96,2008-05-13,108,N
fert96,2008-06-05,54,N
